t,policy,budget,primary,alloc,N_acc,time_ms,throughput,models_used,uses_new,uses_subset,contained_waste,no_delay_ok
11,random_residual,32,Balanced,"{'Balanced': 10, 'Accurate': 5, 'Subset': 8, 'Fast': 9}",8.663006268995545,86.05889539232064,0.10066369350318873,4,0,1,1,1
12,proposed,8,Fast,{'Fast': 8},5.6355861026126925,78.03205491346291,0.072221423732369,1,0,0,0,1
12,best_all,8,Fast,{'Fast': 8},5.037688943441398,78.03205491346291,0.06455922439859062,1,0,0,0,1
12,primary_only,8,Fast,{'Fast': 8},5.249970555644629,78.03205491346291,0.06727966553574445,1,0,0,0,1
12,random_residual,8,Fast,{'Fast': 8},4.3873000880146025,78.03205491346291,0.056224331050618775,1,0,0,0,1
13,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.051257847616375,90.82211423339702,0.07763811608146305,2,0,0,0,1
13,best_all,12,Balanced,{'Balanced': 12},6.4379161066103086,96.54653708007643,0.06668199918212138,1,0,0,0,1
13,primary_only,12,Balanced,{'Balanced': 10},6.390733235421917,90.82211423339702,0.07036538721174058,1,0,0,0,1
13,random_residual,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.0649258739895915,90.82211423339702,0.0777886083540619,2,0,0,0,1
14,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.165743242447735,91.30739906631095,0.0784793271489827,2,0,0,0,1
14,best_all,12,Balanced,{'Balanced': 12},6.902254359900734,97.12887887957314,0.07106284391955774,1,0,0,0,1
14,primary_only,12,Balanced,{'Balanced': 10},6.198328135328846,91.30739906631095,0.06788418242893307,1,0,0,0,1
14,random_residual,12,Balanced,"{'Balanced': 10, 'Fast': 2}",7.121098165585214,91.30739906631095,0.0779903735995546,2,0,0,0,1
15,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.0491361259663226,90.12449766120426,0.07821553860378133,2,0,0,0,1
15,best_all,12,Balanced,{'Balanced': 12},6.94202979988139,95.70939719344511,0.07253237407660564,1,0,0,0,1
