sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
15,64,code,code_template_113,True,189,4.0200553,0.38753158,1.0470239,29899,0.3807394,7.297888e-05,0.00019167672,0,0.0037698345,0.3807394,7.297888e-05
16,64,json_config,json_config_template_155,True,145,3.346839,0.3226338,0.7329825,29900,0.086766765,0.010172226,0.11723643,0,0.39239517,0.29124394,0.88059556
17,64,natural_language,natural_template_122,True,149,3.050332,0.29405066,1.1714271,2645,0.0043493025,0.0066036675,1.0,1,0.20242727,0.24120338,0.0010367209
18,64,natural_language,natural_template_210,True,245,1.5179348,0.14632824,1.7906272,234,0.019182684,0.0024916506,0.12989062,0,0.7962701,0.7844207,0.7411906
19,64,math,math_template_216,True,141,3.983179,0.38397673,0.02662159,29889,0.3478153,0.00028834917,0.00082902954,0,0.06656573,0.3478153,0.00028834917
20,64,natural_language,natural_template_115,True,235,1.8322515,0.17662825,0.19344747,31683,0.69442797,0.96912247,1.0,1,0.7015803,0.69442797,0.96912247
21,64,code,code_template_14,True,178,6.8810987,0.6633349,0.06629263,278,0.01573416,2.702635e-10,1.7176863e-08,0,0.015490765,0.038338676,2.3442082e-08
22,64,code,code_template_6,True,217,2.6538005,0.2558252,0.0008771469,1125,0.4389109,1.5684128e-07,3.5734195e-07,0,0.118191004,0.4389109,1.5684128e-07
23,64,chat,chat_template_104,True,160,3.7817369,0.36455777,0.06067429,30815,0.00063884456,1.1748101e-06,0.0018389608,0,0.33888483,0.33352518,0.99405116
24,64,json_config,json_config_template_94,True,150,1.9403763,0.18705142,0.41838354,29871,0.79891974,0.9490588,1.0,1,0.8079151,0.79891974,0.9490588
25,64,natural_language,natural_template_212,True,154,4.2052493,0.40538418,3.1852922,4004,0.002099049,1.43744e-05,0.0068480535,0,0.1974914,0.3066967,0.047060944
26,64,chat,chat_template_153,True,168,4.7756443,0.46037,2.8487096,5225,0.0002211687,3.1173218e-07,0.001409477,0,0.17495283,0.1634716,0.0020277104
27,64,code,code_template_35,True,135,5.579756,0.537886,0.00086429366,376,0.018864607,3.668878e-12,1.9448473e-10,0,0.03437338,0.05229071,8.131817e-12
28,64,chat,chat_template_149,True,130,3.8003712,0.3663541,0.39145494,322,0.044851303,0.00012146255,0.0027081165,0,0.05858132,0.31623247,0.00022870171
29,64,code,code_template_173,True,189,4.0200553,0.38753158,1.0470239,29899,0.3807394,7.297888e-05,0.00019167672,0,0.0037698345,0.3807394,7.297888e-05
30,64,natural_language,natural_template_25,True,249,1.5312967,0.14761633,0.06613454,234,0.0048122327,1.4538193e-06,0.0003021091,0,0.7722551,0.7662233,0.992307
31,64,json_config,json_config_template_146,True,145,2.9606946,0.28540966,0.627159,29928,0.004639739,0.0064493692,1.0,1,0.3100514,0.26651734,0.008815244
32,64,math,math_template_56,True,139,6.4293694,0.6197884,0.6675409,439,0.0004950008,1.7354629e-06,0.00350598,0,0.07278932,0.04687973,0.0015203027
33,64,chat,chat_template_86,True,130,3.929863,0.37883708,0.29209185,411,0.023913788,7.430433e-08,3.1071754e-06,0,0.061257415,0.30057737,1.0688453e-05
34,64,json_config,json_config_template_89,True,145,2.9848378,0.28773704,0.5243625,29916,0.0009277933,9.206902e-05,0.09923441,0,0.24159504,0.2858658,0.0042000473
35,64,json_config,json_config_template_140,True,146,1.4742067,0.14211288,0.02930786,29955,0.65133566,0.9970143,1.0,1,0.6532263,0.65133566,0.9970143
36,64,json_config,json_config_template_80,True,147,1.0358233,0.09985291,0.003727288,29899,0.88099027,0.9996424,1.0,1,0.88134766,0.88099027,0.9996424
37,64,chat,chat_template_23,True,171,4.186595,0.4035859,2.2279024,674,0.1368109,0.45575488,1.0,1,0.3244571,0.30352825,0.06463979
38,64,json_config,json_config_template_186,True,191,4.258186,0.41048723,1.993418,29903,0.003445498,0.0002198621,0.063811414,0,0.34212935,0.16666314,0.028129186
