prompt_id,method,budget,round,selected_nodes,accepted_tokens,draft_time_s,comm_time_s,verify_time_s,total_round_time_s,round_tps,input_len,expansions,generated_candidates
1,greedy,16,8,16,1,0.02888757735490799,5.12e-08,0.03079182654619217,0.05967945510110016,16.756185161307975,24,16.0,64.0
1,greedy,16,9,16,3,0.028650037944316864,5.12e-08,0.030956901609897614,0.05960699075421448,50.32966707496279,25,16.0,64.0
1,greedy,16,10,16,2,0.029048755764961243,5.12e-08,0.030949227511882782,0.05999803447684403,33.334425326414504,28,16.0,64.0
1,greedy,16,11,16,2,0.028626039624214172,5.12e-08,0.030960753560066223,0.0595868443842804,33.56445572284106,30,16.0,64.0
2,chain,4,1,4,2,0.007012352347373962,1.28e-08,0.029077667742967606,0.036090032890341565,55.416962519179116,9,4.0,
2,chain,4,2,4,1,0.006941094994544983,1.28e-08,0.028909869492053986,0.035850977286598966,27.89324240747541,11,4.0,
2,chain,4,3,4,2,0.006959483027458191,1.28e-08,0.02897927537560463,0.03593877120306282,55.650205420199605,12,4.0,
2,chain,4,4,4,1,0.006991725414991379,1.28e-08,0.02919258177280426,0.036184319987795636,27.636280033375872,14,4.0,
2,chain,4,5,4,5,0.007183432579040527,1.28e-08,0.029368434101343155,0.03655187948038368,136.79187147362293,15,4.0,
2,chain,4,6,4,3,0.007119622081518173,1.28e-08,0.030142948031425476,0.03726258291294365,80.50971686554531,20,4.0,
